trial_id,random_state,dataset_fraction,dataset_rows,aggregate,method,exact_result,estimated_result,relative_error,time_seconds,sample_fraction,sample_size,confidence_interval_lower,confidence_interval_upper,relative_error_estimate
10,152,0.1,1000,SUM,Exact Query,403409.5800000001,403409.5800000001,0.0,2.8199999633216066e-05,1.0,1000,403409.5800000001,403409.5800000001,0.0
10,152,0.1,1000,SUM,Uniform Sampling,403409.5800000001,411964.8000000001,0.021207280203905988,0.00021560000004683388,0.1,100,,,
10,152,0.1,1000,SUM,Stratified Sampling,403409.5800000001,416930.4014159664,0.03351636174819229,0.0020669999998972344,0.1,98,,,
10,152,0.1,1000,SUM,Adaptive Sampling,403409.5800000001,389563.50000000006,0.03432263557052863,0.0016954000002442626,0.3,300,352658.3984793379,426468.6015206622,0.09473449519953005
10,152,0.1,1000,AVG,Exact Query,403.40958000000006,403.40958000000006,0.0,2.7300000056129647e-05,1.0,1000,403.40958000000006,403.40958000000006,0.0
10,152,0.1,1000,AVG,Uniform Sampling,403.40958000000006,411.9648000000001,0.021207280203905964,0.00021709999964514282,0.1,100,,,
10,152,0.1,1000,AVG,Stratified Sampling,403.40958000000006,416.9304014159664,0.033516361748192336,0.00211040000021967,0.1,98,,,
10,152,0.1,1000,AVG,Adaptive Sampling,403.40958000000006,389.56350000000003,0.034322635570528656,0.0017778999999791267,0.3,300,352.6583984793379,426.46860152066216,0.09473449519953005
1,293,0.25,2500,COUNT,Exact Query,2500.0,2500.0,0.0,3.309999965495081e-05,1.0,2500,2500.0,2500.0,0.0
1,293,0.25,2500,COUNT,Uniform Sampling,2500.0,2500.0,0.0,0.0002604000001156237,0.1,250,,,
1,293,0.25,2500,COUNT,Stratified Sampling,2500.0,2500.0,0.0,0.00243159999990894,0.1,249,,,
1,293,0.25,2500,COUNT,Adaptive Sampling,2500.0,2500.0,0.0,0.00026149999985136674,0.05,125,2500.0,2500.0,0.0
1,293,0.25,2500,SUM,Exact Query,1067046.52,1067046.52,0.0,3.0700000024808105e-05,1.0,2500,1067046.52,1067046.52,0.0
1,293,0.25,2500,SUM,Uniform Sampling,1067046.52,974136.3999999999,0.08707222999049762,0.00025920000007317867,0.1,250,,,
1,293,0.25,2500,SUM,Stratified Sampling,1067046.52,1122662.739677295,0.05212164477823804,0.002305100000285165,0.1,249,,,
1,293,0.25,2500,SUM,Adaptive Sampling,1067046.52,974136.4,0.0870722299904975,0.0006226000000424392,0.1,250,878965.301904535,1069307.498095465,0.09769791796658554
1,293,0.25,2500,AVG,Exact Query,426.818608,426.818608,0.0,2.7399999908084283e-05,1.0,2500,426.818608,426.818608,0.0
1,293,0.25,2500,AVG,Uniform Sampling,426.818608,389.65456,0.08707222999049746,0.00023569999984829337,0.1,250,,,
1,293,0.25,2500,AVG,Stratified Sampling,426.818608,449.06509587091796,0.05212164477823791,0.0022785999999541673,0.1,249,,,
1,293,0.25,2500,AVG,Adaptive Sampling,426.818608,389.65456,0.08707222999049746,0.0006321999999272521,0.1,250,351.586120761814,427.722999238186,0.09769791796658553
2,294,0.25,2500,COUNT,Exact Query,2500.0,2500.0,0.0,3.0899999728717376e-05,1.0,2500,2500.0,2500.0,0.0
2,294,0.25,2500,COUNT,Uniform Sampling,2500.0,2500.0,0.0,0.00029660000018338906,0.1,250,,,
2,294,0.25,2500,COUNT,Stratified Sampling,2500.0,2500.0,0.0,0.002352999999857275,0.1,249,,,
2,294,0.25,2500,COUNT,Adaptive Sampling,2500.0,2500.0,0.0,0.0002463999999235966,0.05,125,2500.0,2500.0,0.0
2,294,0.25,2500,SUM,Exact Query,1064610.01,1064610.01,0.0,2.790000007735216e-05,1.0,2500,1064610.01,1064610.01,0.0
2,294,0.25,2500,SUM,Uniform Sampling,1064610.01,994404.2999999999,0.06594500271512578,0.0002546999999140098,0.1,250,,,
2,294,0.25,2500,SUM,Stratified Sampling,1064610.01,1000768.0404462519,0.05996747067383684,0.0022952999997869483,0.1,249,,,
